SNo,Name,Symbol,Month,Day,Year,High,Low,Open,Close,Volume,Marketcap
2550,XRP,XRP,7,28,2020,0.233693028,0.217893666,0.223889453,0.230276596,1754695828,10327622850
2551,XRP,XRP,7,29,2020,0.249352632,0.23007852,0.230148402,0.243099138,2022835116,10902698157
2552,XRP,XRP,7,30,2020,0.248586067,0.238767531,0.243254422,0.24452249,1650758400,10966533744
2553,XRP,XRP,7,31,2020,0.259601418,0.242200221,0.244649281,0.258903788,1854522560,11615109241
2554,XRP,XRP,8,1,2020,0.295758802,0.255843863,0.258903788,0.289528999,3167874461,12989037258
2555,XRP,XRP,8,2,2020,0.322561162,0.27559335,0.289742265,0.287062296,4780736538,12878374454
2556,XRP,XRP,8,3,2020,0.318866211,0.285190044,0.28749033,0.309940086,3340814994,13904732686
2557,XRP,XRP,8,4,2020,0.318295854,0.294030078,0.309935184,0.300492816,2746437659,13480903122
2558,XRP,XRP,8,5,2020,0.307873505,0.292720133,0.300783411,0.303311361,2048410252,13607350506
2559,XRP,XRP,8,6,2020,0.310061856,0.298339419,0.303142473,0.303584019,1946386689,13619582659
2560,XRP,XRP,8,7,2020,0.30932366,0.28732896,0.303463522,0.29466375,4278382957,13219395791
2561,XRP,XRP,8,8,2020,0.298728147,0.291251874,0.294905206,0.294021591,1355768291,13190586827
2562,XRP,XRP,8,9,2020,0.29806063,0.283924463,0.294618358,0.288653296,1391288259,12949750917
2563,XRP,XRP,8,10,2020,0.299404613,0.288568761,0.288568761,0.294658626,2108627560,13219165922
2564,XRP,XRP,8,11,2020,0.305783314,0.27460268,0.294682627,0.284449361,4542499150,12777100987
2565,XRP,XRP,8,12,2020,0.28984892,0.274191114,0.284376339,0.284930451,2001506679,12798710938
2566,XRP,XRP,8,13,2020,0.298182148,0.274354377,0.284930099,0.297807281,2061442814,13377121645
2567,XRP,XRP,8,14,2020,0.306373855,0.293853157,0.297532622,0.300371199,2246050523,13492289577
2568,XRP,XRP,8,15,2020,0.304188153,0.294890608,0.300246421,0.299660618,2260353636,13460371200
2569,XRP,XRP,8,16,2020,0.304051842,0.294289305,0.299766778,0.303491864,2078824448,13632465821
2570,XRP,XRP,8,17,2020,0.324403486,0.298660432,0.303641162,0.314766588,3001054633,14138912017
2571,XRP,XRP,8,18,2020,0.320405684,0.301843197,0.314217809,0.303307162,2126503478,13631409331
2572,XRP,XRP,8,19,2020,0.305540168,0.282474268,0.303512533,0.290245661,2163768928,13044391670
2573,XRP,XRP,8,20,2020,0.294098971,0.28607821,0.290301148,0.29257301,1749934412,13148988770
2574,XRP,XRP,8,21,2020,0.295517983,0.280258403,0.292468249,0.28068239,1833818566,12614593511
2575,XRP,XRP,8,22,2020,0.286546384,0.275895816,0.280634775,0.286546384,1417207522,12878136590
2576,XRP,XRP,8,23,2020,0.2872755,0.27882894,0.286358456,0.285386358,1183627267,12826002016
2577,XRP,XRP,8,24,2020,0.291311522,0.283117296,0.285278257,0.289214989,1237229520,12998070622
2578,XRP,XRP,8,25,2020,0.289570874,0.273311058,0.289044246,0.277926681,1403395912,12490744794
2579,XRP,XRP,8,26,2020,0.2801362,0.274876304,0.277692882,0.277490817,1194610015,12485661391
2580,XRP,XRP,8,27,2020,0.278688314,0.257512928,0.277359573,0.264510897,1471948899,11901631634
2581,XRP,XRP,8,28,2020,0.273301709,0.261308783,0.264657636,0.27204601,1178427813,12240673038
2582,XRP,XRP,8,29,2020,0.276838517,0.269446765,0.272009054,0.27449658,1053592719,12350936087
2583,XRP,XRP,8,30,2020,0.283596798,0.274356692,0.274568468,0.28303374,1202203314,12735064439
2584,XRP,XRP,8,31,2020,0.284511705,0.278657795,0.283065155,0.281765646,1209798563,12678006729
2585,XRP,XRP,9,1,2020,0.298213251,0.278455978,0.281612451,0.295695506,1730740377,13304778881
2586,XRP,XRP,9,2,2020,0.303214428,0.269150678,0.295612134,0.276461221,1985414445,12443862450
2587,XRP,XRP,9,3,2020,0.276726128,0.245418771,0.276635776,0.246580447,1847290355,11098891750
2588,XRP,XRP,9,4,2020,0.266138869,0.244301315,0.246726215,0.255882581,1924234480,11517592373
2589,XRP,XRP,9,5,2020,0.259605763,0.233811412,0.255808035,0.237691994,2160621038,10698811447
2590,XRP,XRP,9,6,2020,0.243732022,0.231322525,0.237691994,0.240731036,1752405005,10835602512
2591,XRP,XRP,9,7,2020,0.243431837,0.231285444,0.240811707,0.242173728,1773175897,10900539863
2592,XRP,XRP,9,8,2020,0.243872204,0.232833276,0.242028519,0.236753491,1618416970,10656568301
2593,XRP,XRP,9,9,2020,0.243213465,0.234273151,0.236723379,0.239609309,1203137131,10785112204
2594,XRP,XRP,9,10,2020,0.249184733,0.23956958,0.239689218,0.243529945,1353359148,10961584883
2595,XRP,XRP,9,11,2020,0.244815031,0.237519587,0.243529945,0.243291518,1096662166,10950852982
2596,XRP,XRP,9,12,2020,0.248752094,0.241820491,0.243054942,0.247813855,1043746083,11154409008
2597,XRP,XRP,9,13,2020,0.253136074,0.23885713,0.247813855,0.241800915,1163182194,10883759101
2598,XRP,XRP,9,14,2020,0.249822451,0.240321863,0.241804292,0.246326732,1195994290,11095132155
2599,XRP,XRP,9,15,2020,0.249245384,0.24339169,0.246264577,0.243849534,1245531094,10983553364
2600,XRP,XRP,9,16,2020,0.250973786,0.236727185,0.244009959,0.247846851,1421286455,11163601882
2601,XRP,XRP,9,17,2020,0.258190046,0.247218371,0.247743329,0.252193534,1735400721,11359386614
2602,XRP,XRP,9,18,2020,0.255715514,0.247090991,0.252284346,0.250706972,1282349756,11292428408
